sheet_title,breakdown,scenario,series,unit,year,value
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2045,71.46
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2046,71.93
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2047,72.51
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2048,73.27
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2049,73.32
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2050,73.74
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2027,4.49
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2028,4.99
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2029,5.55
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2030,6.41
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2031,6.9
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2032,7.27
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2033,7.77
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2034,7.88
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2035,10.32
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2036,13.03
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2037,15.66
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2038,18.17
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2039,19.11
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2040,19.9
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2041,20.61
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Data Centres subsectors,Net Annual Energy Demand (TWh),2042,21.34
