sheet_title,breakdown,scenario,series,unit,year,value
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2043,6.62
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2044,6.7
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2045,6.75
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2046,6.83
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2047,6.9
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2048,7.0
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2049,7.04
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2050,7.11
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2027,48.6
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2028,48.57
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2029,47.71
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2030,47.66
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2031,47.88
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2032,48.33
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2033,48.83
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2034,49.32
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2035,49.73
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2036,50.14
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2037,50.38
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2038,50.38
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2039,50.58
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2040,51.01
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2041,50.93
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2042,50.99
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2043,51.1
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2044,51.39
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2045,51.43
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2046,51.65
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2047,51.56
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2048,51.9
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2049,51.9
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Residential Sector,Net Annual Energy Demand (TWh),2050,52.08
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2027,50.14
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2028,51.13
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2029,52.01
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2030,52.9
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2031,53.79
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2032,54.56
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2033,54.55
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2034,54.58
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2035,54.81
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2036,54.99
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2037,55.38
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2038,56.26
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2039,56.86
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2040,57.95
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2041,58.79
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2042,59.4
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2043,60.27
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2044,61.27
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2045,61.35
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2046,61.48
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2047,61.72
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2048,62.17
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2049,62.04
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2050,62.2
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2027,2.86
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2028,3.72
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2029,4.52
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2030,5.0
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2031,5.56
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2032,6.46
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2033,6.95
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2034,7.29
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2035,7.82
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2036,7.96
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2037,8.65
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2038,9.48
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2039,10.3
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2040,11.14
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2041,11.95
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2042,12.65
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2043,13.36
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2044,14.1
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2045,14.07
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2046,14.07
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2047,14.07
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2048,14.12
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2049,14.09
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Data Centres subsectors,Net Annual Energy Demand (TWh),2050,14.12
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2027,41.56
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2028,43.22
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2029,44.47
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2030,44.92
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2031,46.69
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2032,50.72
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2033,50.59
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2034,51.05
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2035,51.73
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2036,52.08
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2037,51.94
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2038,51.75
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2039,51.67
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2040,51.98
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2041,52.47
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2042,53.22
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2043,53.38
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2044,53.93
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2045,54.13
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2046,54.58
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2047,54.92
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2048,55.5
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2049,55.92
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Industrial Sector,Net Annual Energy Demand (TWh),2050,56.28
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2027,3.33
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2028,3.55
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2029,4.0
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2030,4.54
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2031,4.61
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2032,4.8
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2033,4.96
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2034,4.97
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2035,5.01
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2036,5.04
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2037,5.04
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2038,5.05
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2039,5.06
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2040,5.12
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2041,5.12
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2042,5.15
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2043,5.17
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2044,5.19
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2045,5.19
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2046,5.2
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2047,5.22
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2048,5.25
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2049,5.25
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Agricultural Sector,Net Annual Energy Demand (TWh),2050,5.27
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2027,2.69
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2028,3.18
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2029,3.81
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2030,4.81
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2031,5.57
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2032,7.67
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2033,8.5
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2034,9.39
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2035,10.31
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2036,11.27
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2037,12.14
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2038,13.03
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2039,13.92
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2040,14.83
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2041,15.7
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2042,16.62
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2043,17.55
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2044,18.54
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2045,19.44
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2046,20.44
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2047,21.41
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2048,22.55
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2049,23.54
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Transportation Sector,Net Annual Energy Demand (TWh),2050,24.63
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2027,5.52
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2028,5.56
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2029,5.56
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2030,5.58
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2031,5.61
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2032,5.64
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2033,5.63
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2034,5.65
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2035,5.67
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2036,5.72
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2037,5.73
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2038,5.75
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2039,5.78
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2040,5.82
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2041,5.82
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2042,5.85
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2043,5.87
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2044,5.91
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2045,5.92
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2046,5.94
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2047,5.97
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2048,6.01
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2049,6.02
Figure 3: Low-Demand Scenario Demand Forecast by Sector,sector,Low-Demand,Other Electricity Demand,Net Annual Energy Demand (TWh),2050,6.05
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2026,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2027,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2028,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2029,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2030,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2031,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2032,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2033,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2034,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2035,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2036,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2037,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2038,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2039,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2040,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2041,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2042,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2043,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2044,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2045,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2046,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2047,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2048,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2049,152.46
Figure 4: Reference Scenario Demand Forecast by Component,component,Reference,Reference Year Demand,Net Annual Energy Demand (TWh),2050,152.46
